Bee #,Plant #,Collection #,Season
350,162,120,1
350,162,120,1
350,162,120,1
355,162,120,1
355,162,120,1
362,30,120,1
362,30,120,1
362,30,120,1
364,150,120,1
364,168,120,1
378,30,120,1
378,162,120,1
385,83,120,1
387,162,120,1
387,162,120,1
186,117,121,1
236,154,121,1
279,16,121,1
279,150,121,1
279,150,121,1
279,150,121,1
281,176,121,1
281,176,121,1
281,176,121,1
281,148,121,1
297,176,121,1
297,176,121,1
297,176,121,1
326,176,121,1
333,172,121,1
341,154,121,1
361,176,121,1
375,146,121,1
375,148,121,1
376,176,121,1
216,115,122,1
290,46,122,1
325,172,122,1
350,180,122,1
362,115,122,1
362,115,122,1
365,127,122,1
195,62,123,1
217,63,123,1
225,168,123,1
281,172,123,1
281,172,123,1
284,154,123,1
298,172,123,1
325,168,123,1
326,172,123,1
326,172,123,1
350,175,123,1
362,175,123,1
362,175,123,1
381,43,123,1
225,38,124,1
227,38,124,1
249,166,124,1
281,168,124,1
281,168,124,1
325,168,124,1
326,168,124,1
326,168,124,1
326,168,124,1
329,94,124,1
350,159,124,1
387,159,124,1
252,168,125,1
279,155,125,1
281,83,125,1
281,168,125,1
298,168,125,1
298,168,125,1
317,168,125,1
341,150,125,1
378,172,125,1
194,150,126,1
217,127,126,1
217,150,126,1
341,150,126,1
366,150,126,1
380,154,126,1
217,150,127,1
217,150,127,1
216,150,127,1
216,154,127,1
279,150,127,1
281,44,127,1
341,150,127,1
381,44,127,1
203,1,21,2
216,140,21,2
216,140,21,2
216,140,21,2
217,140,21,2
217,140,21,2
276,140,21,2
296,140,21,2
350,29,21,2
350,140,21,2
216,119,22,2
216,140,22,2
216,140,22,2
216,153,22,2
216,158,22,2
217,150,22,2
217,153,22,2
217,158,22,2
217,158,22,2
217,158,22,2
335,80,22,2
335,80,22,2
335,80,22,2
341,97,22,2
341,97,22,2
341,150,22,2
341,150,22,2
378,39,22,2
378,79,22,2
380,97,22,2
380,97,22,2
222,29,23,2
284,97,23,2
350,97,23,2
378,97,23,2
378,120,23,2
216,108,24,2
216,158,24,2
216,158,24,2
216,158,24,2
238,31,24,2
273,31,24,2
277,97,24,2
324,153,24,2
341,97,24,2
344,31,24,2
344,158,24,2
350,97,24,2
378,108,24,2
378,108,24,2
378,108,24,2
378,108,24,2
378,108,24,2
378,121,24,2
378,121,24,2
216,35,25,2
216,35,25,2
216,35,25,2
216,35,25,2
216,35,25,2
216,35,25,2
216,35,25,2
216,73,25,2
216,74,25,2
216,121,25,2
216,121,25,2
216,121,25,2
217,35,25,2
290,121,25,2
296,121,25,2
341,97,25,2
350,74,25,2
350,97,25,2
351,74,25,2
378,152,25,2
216,151,26,2
217,151,26,2
279,31,26,2
278,31,27,2
279,31,27,2
344,31,27,2
344,31,27,2
355,150,27,2
290,58,28,2
294,181,28,2
301,181,28,2
348,98,28,2
351,181,28,2
351,181,28,2
351,181,28,2
362,181,28,2
362,181,28,2
362,181,28,2
362,181,28,2
362,181,28,2
362,181,28,2
362,181,28,2
362,181,28,2
378,58,28,2
378,58,28,2
378,58,28,2
355,150,29,2
216,133,30,2
296,150,30,2
296,150,30,2
341,150,30,2
190,150,31,2
355,150,31,2
341,150,32,2
183,61,33,2
216,59,33,2
216,59,33,2
258,113,33,2
291,124,33,2
378,59,33,2
378,59,33,2
378,106,33,2
380,49,33,2
221,130,34,2
288,130,34,2
185,86,35,2
185,86,35,2
203,59,35,2
212,40,35,2
214,43,35,2
214,61,35,2
214,62,35,2
228,13,35,2
262,86,35,2
312,169,35,2
313,59,35,2
338,86,35,2
339,106,35,2
361,86,35,2
371,86,35,2
378,43,35,2
386,106,35,2
271,150,36,2
187,85,37,2
190,43,37,2
203,43,37,2
203,172,37,2
214,43,37,2
214,43,37,2
214,43,37,2
223,172,37,2
245,172,37,2
268,172,37,2
289,172,37,2
290,172,37,2
291,59,37,2
295,43,37,2
295,172,37,2
296,172,37,2
308,172,37,2
312,172,37,2
317,43,37,2
320,172,37,2
322,59,37,2
322,172,37,2
322,172,37,2
333,172,37,2
341,2,37,2
350,43,37,2
350,43,37,2
350,43,37,2
378,43,37,2
378,43,37,2
378,43,37,2
221,162,38,2
225,150,38,2
279,150,38,2
279,150,38,2
283,148,38,2
287,162,38,2
348,21,38,2
364,81,38,2
216,151,76,2
217,150,76,2
225,150,76,2
230,80,76,2
234,80,76,2
234,80,76,2
335,80,76,2
335,80,76,2
335,80,76,2
335,80,76,2
336,80,76,2
337,80,76,2
344,33,76,2
350,80,76,2
367,80,76,2
378,39,76,2
378,39,76,2
378,39,76,2
378,39,76,2
378,39,76,2
379,80,76,2
379,80,76,2
379,80,76,2
379,80,76,2
379,80,76,2
216,23,77,2
292,97,77,2
325,23,77,2
341,97,77,2
362,23,77,2
194,27,78,2
195,27,78,2
199,33,78,2
222,27,78,2
224,32,78,2
238,27,78,2
238,27,78,2
238,33,78,2
241,27,78,2
278,27,78,2
278,27,78,2
279,27,78,2
284,2,78,2
284,2,78,2
284,2,78,2
341,163,78,2
344,27,78,2
344,27,78,2
344,27,78,2
344,27,78,2
344,27,78,2
344,27,78,2
344,27,78,2
344,27,78,2
348,27,78,2
348,33,78,2
349,33,78,2
366,27,78,2
195,27,79,2
229,27,79,2
238,27,79,2
270,32,79,2
274,27,79,2
275,27,79,2
278,33,79,2
344,27,79,2
344,27,79,2
349,27,79,2
190,27,80,2
216,27,80,2
217,150,80,2
225,150,80,2
225,150,80,2
225,150,80,2
229,27,80,2
231,150,80,2
238,27,80,2
238,27,80,2
273,27,80,2
279,150,80,2
280,27,80,2
341,150,80,2
341,150,80,2
344,27,80,2
364,99,80,2
366,27,80,2
197,141,81,2
200,7,81,2
217,150,81,2
222,27,81,2
222,141,81,2
236,27,81,2
239,141,81,2
275,141,81,2
276,27,81,2
278,27,81,2
278,27,81,2
279,27,81,2
279,27,81,2
279,27,81,2
289,7,81,2
331,141,81,2
341,141,81,2
341,141,81,2
341,141,81,2
341,150,81,2
342,27,81,2
344,27,81,2
344,27,81,2
347,27,81,2
350,27,81,2
350,27,81,2
365,27,81,2
367,27,81,2
375,2,81,2
378,33,81,2
378,152,81,2
378,152,81,2
185,27,82,2
185,27,82,2
191,27,82,2
193,105,82,2
194,143,82,2
195,116,82,2
196,105,82,2
196,143,82,2
204,105,82,2
204,105,82,2
204,105,82,2
204,105,82,2
206,27,82,2
216,105,82,2
216,105,82,2
222,105,82,2
222,105,82,2
222,152,82,2
224,141,82,2
