Year,Month,Day,Precipitation (mm),Temp (Max),Temp (Min),Humidity
1996,9,22,0,31.1,15.2,54
1996,9,23,0.4,32.4,15.6,37
1996,9,24,0,31.6,17,41
1996,9,25,0,33,17.1,36
1996,9,26,0.2,25.5,19.5,58
1996,9,27,0,31.8,19,38
1996,9,28,0,30.9,18.6,46
1996,9,29,0,31,17.2,42
1996,9,30,0,30.9,17.2,50
1996,10,1,0,30.6,16.8,43
1996,10,2,0,30,19,64
1996,10,3,2.4,25.9,16.5,82
1996,10,4,0,30.7,15.3,56
1996,10,5,0,29.1,16.9,64
1996,10,6,0,30,16.2,73
1996,10,7,6.1,28.2,19,84
1996,10,8,3.6,29.6,15.9,59
1996,10,9,0,29.2,18.9,44
1996,10,10,0,31.7,16.9,41
1996,10,11,0,31.5,17.8,44
1996,10,12,0,31.9,16,46
1996,10,13,3.8,31.1,16.8,73
1996,10,14,15.8,26,17.6,79
1996,10,15,0,26.9,16.9,75
1996,10,16,0,27,15.5,69
1996,10,17,0,27.9,16.8,72
1996,10,18,0,27.3,16.4,66
1996,10,19,0,30.8,16.8,52
1996,10,20,0,31.2,14.8,54
1996,10,21,1.5,29.1,15.6,76
1996,10,22,33,29.9,16.3,56
1996,10,23,0,30,17.6,53
1996,10,24,0,30.1,17.3,54
1996,10,25,0,28.9,16.8,58
1996,10,26,3.9,28.9,15.2,63
1996,10,27,0.6,28.2,19.8,72
1996,10,28,0,26.9,15.5,72
1996,10,29,0.3,27.6,18.5,74
1996,10,30,43,28.1,15.8,86
1996,10,31,2.3,26,16.1,92
1996,11,1,17.1,26.9,17.6,76
1996,11,2,0,25.8,17.7,84
1996,11,3,15.6,27.7,17.3,74
1996,11,4,2.1,26.2,13.9,84
1996,11,5,0,28.2,16.9,91
1996,11,6,44.1,24.2,17.1,81
1996,11,7,0,26.9,17.4,72
1996,11,8,0,27.6,17.1,76
1996,11,9,0,28.6,16.6,66
1996,11,10,0,30.4,14,59
1996,11,11,0,31.2,14.8,54
1996,11,12,0,31.4,15.4,46
1996,11,13,0,30.9,18.6,45
1996,11,14,0,28.1,15.7,74
1996,11,15,10.2,26.7,17,89
1996,11,16,16.1,28.5,18.4,79
1996,11,17,22.6,25.7,18.4,83
1996,11,18,0.9,25.9,18.5,80
1996,11,19,13.1,25.6,18.5,88
1996,11,20,11.2,28.4,18.4,73
1996,11,21,17.6,25.3,17.5,87
1996,11,22,7.9,21.9,18.8,93
1996,11,23,22.3,24.9,17.2,86
1996,11,24,19.4,24.9,17.2,93
1996,11,25,11.6,27.4,14.5,58
1996,11,26,0,29.5,15.6,55
1996,11,27,7.4,25.2,18.3,79
1996,11,28,16.5,20.7,17.3,81
1996,11,29,0.7,20.4,15.8,90
1996,11,30,4.8,18,14.8,92
1996,12,1,7.2,26.2,12.8,81
1996,12,2,4.2,27.7,16.4,68
1996,12,3,0.8,27.4,16.8,73
1996,12,4,0,28.4,16,80
1996,12,5,0,28.8,15.7,65
1996,12,6,1.4,28.1,15.3,83
1996,12,7,21,28.3,14.8,63
1996,12,8,0,28.3,18.3,76
1996,12,9,0,26.9,16.5,70
1996,12,10,24.2,29.6,15.7,59
1996,12,11,2,28.5,18.5,74
1996,12,12,31.3,25.9,17.4,72
1996,12,13,0.2,30.6,16.8,60
1996,12,14,0,28.3,17.2,77
1996,12,15,0,28.9,16.8,69
1996,12,16,1.1,30,18.7,58
1996,12,17,0,30.6,17.3,49
1996,12,18,0,31.3,16.1,54
1996,12,19,0,30.2,19.1,60
1996,12,20,11,27.9,16.9,76
1996,12,21,9,25.7,17,79
