,Pollinator.name,Genus,Species,SystemCode,Degree,SystemReference,Size,SizeType
873,Unidentified.sp,Unidentified,sp,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",#N/A,#N/A
874,Urbanus.dorantes,Urbanus,dorantes,gsv,4,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",44,WS
875,Urbanus.simplicius,Urbanus,simplicius,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",44,WS
876,Vespa.germanica,Vespa,germanica,ppc,7,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",13,BL
877,Vespula.pensylvanica,Vespula,pensylvanica,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",19,BL
878,Volucella.bombylans,Volucella,bombylans,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",14,BL
879,Volucella.bombylans,Volucella,bombylans,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",14,BL
880,Volucella.satur,Volucella,satur,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
881,Xanthoepalpus.bicolor,Xanthoepalpus,bicolor,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11.8,BL
882,Xanthopedia.larocai,Xanthopedia,larocai,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
883,Xeromelecta.californica,Xeromelecta,californica,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11,BL
884,Xylocopa.cearensis,Xylocopa,cearensis,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
885,Xylocopa.ciliata,Xylocopa,ciliata,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
886,Xylocopa.fimbriata,Xylocopa,fimbriata,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
887,Xylocopa.fimbriata,Xylocopa,fimbriata,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",21.5,BL
888,Xylocopa.frontalis,Xylocopa,frontalis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
889,Xylocopa.grisescens,Xylocopa,grisescens,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
890,Xylocopa.grisescens,Xylocopa,grisescens,pqn,1,"Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096_†_1101.",21.5,BL
891,Xylocopa.hirsutissima,Xylocopa,hirsutissima,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
892,Xylocopa.hirsutissima,Xylocopa,hirsutissima,cer,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
893,Xylocopa.sp,Xylocopa,sp,cer,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
894,Xylocopa.sp,Xylocopa,sp,pqn,2,"Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096_†_1101.",21.5,BL
895,Xylocopa.sp,Xylocopa,sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
896,Xylocopa.subcyanea,Xylocopa,subcyanea,bbg,8,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
897,Xylocopa.subcyanea,Xylocopa,subcyanea,cer,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,21.5,BL
